r	∅	67
∅	o	1
		pɾo-tu-ku-1la-ɾi+Masc	pɾu-tu-ku-1la-ɾi	pɾo-tu-ku-1la-ɾi
∅	ɔ	1
		pɾɔ-pul-1sib+Masc	pɾu-pul-1siuw	pɾɔ-pul-1siuw
∅	kw	1
		pɾu-1piŋkw+Masc	pɾu-1piŋ	pɾu-1piŋkw
stuɾ	rzɔ	1
		pɔz-1rɛm+Masc	pus-1tɾɛm	pɔz-1rɛm
o	∅	1
		plɔ-ɾə-1ʎɔz+Masc	plɔ-ɾə-1ʎos	plɔ-ɾə-1ʎɔs
ə	ɛ	1
		pɛuw-1ɣɾɔs+Masc	pəuw-1ɣɾɔs	pɛuw-1ɣɾɔs
euɛ	ɔ	1
		pə-lə-1ɔ-ʒən+Masc	pə-le-u-1ʒɛn	pə-lə-1ɔ-ʒən
∅	sə͡	1
		ni-əss-t͡ʃi-1an+Masc	nit-ʃi-1a	ni-əss-t͡ʃi-1a
euɛ	ɔə	1
		nə-1ɔ-ʒən+Masc	ne-u-1ʒɛn	nə-1ɔ-ʒən
jɔ	io	1
		mo-nu-1ik+Masc	mu-1nɔjk	mo-nu-1ik
ə	u	1
		mi-1zɔ-luɡ+Masc	mi-1zɔ-lək	mi-1zɔ-luk
ə	a	1
		ma-li-1koz+Masc	mə-li-1kos	ma-li-1kos
∅	a	1
		ma-ləŋ-ku-ni-1oz+Masc	mə-ləŋ-ku-ni-1os	ma-ləŋ-ku-ni-1os
j	∅	1
		ma-1la-i-zi+Masc	ma-1laj-zi	ma-1la-i-zi
e	∅	1
		ʎəŋ-ɡwə-1ʎaɾɡ+Masc	ʎeŋ-ɡwə-1ʎark	ʎəŋ-ɡwə-1ʎark
ə	1ɛ	1
		1lɛz+Masc	ləs	1lɛs
w	ə	1
		lu-ku-mu1tɾiu+Fem	lu-ku-mu-1tɾiuw	lu-ku-mu1tɾiu-ə
eɛ	ɔə	1
		us-tə-1ɔ-ʒən+Masc	us-te-u-1ʒɛn	us-tə-1ɔ-ʒən
ə	∅	1
		u-1mɔ-luɡ+Masc	u-1mɔ-lək	u-1mɔ-luk
ɔ	∅	1
		i-ðɾu-ku1r+Masc	i-ðɾu-1kɔr	i-ðɾu-ku1r
∅	ow	1
		ʒə-ni-touw-ɾi-1na-ɾi+Masc	ʒə-ni-tu-ɾi-1na-ɾi	ʒə-ni-touw-ɾi-1na-ɾi
͡	∅	1
		ɡə-1βatʃ+Masc	ɡə-1βat͡ʃ	ɡə-1βatʃ
